epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2215,3.4438,4.89162,4.22207,0.00017,0.05313,0.00011,3e-05,3.24984,5.07893,4.15952,0.000364455,0.000364455,0.000364455
2,100.458,3.36569,4.45104,3.87746,0.00245,0.3287,0.00525,0.00176,3.14588,3.85279,3.90864,0.000731151,0.000731151,0.000731151
3,150.827,3.22166,4.44385,3.58725,0.222,0.02923,0.00785,0.00218,3.24057,4.42905,4.30164,0.00109418,0.00109418,0.00109418
4,201.253,3.01974,4.08847,3.38007,0.00211,0.17755,0.0015,0.00036,3.25658,9.45789,6.0279,0.0010945,0.0010945,0.0010945
5,250.239,2.88288,3.90727,3.22269,0.00201,0.2476,0.00454,0.00131,3.03393,4.71308,4.91222,0.001089,0.001089,0.001089
6,299.713,2.82902,3.77177,3.09588,0.22002,0.04466,0.00933,0.00312,2.94986,4.45957,3.53852,0.0010835,0.0010835,0.0010835
7,350.897,2.73599,3.66184,3.02401,0.23908,0.05162,0.03543,0.0089,2.58502,3.34306,3.05269,0.001078,0.001078,0.001078
8,402.028,2.66606,3.57269,2.96342,0.21143,0.02335,0.00838,0.00262,2.59569,3.70326,3.05644,0.0010725,0.0010725,0.0010725
9,451.263,2.62329,3.55462,2.93948,0.66751,0.08998,0.05586,0.01603,2.50419,3.28727,2.98346,0.001067,0.001067,0.001067
10,502.76,2.5856,3.43246,2.88252,0.27426,0.12491,0.04973,0.012,2.60829,3.5947,3.02614,0.0010615,0.0010615,0.0010615
11,552.573,2.57375,3.37114,2.86738,0.46838,0.14444,0.05851,0.01566,2.38749,3.35705,2.90114,0.00105601,0.00105601,0.00105601
12,601.908,2.5092,3.30667,2.80446,0.8561,0.06939,0.07489,0.0241,2.4711,3.60531,2.95468,0.00105051,0.00105051,0.00105051
13,653.031,2.45542,3.25913,2.78999,0.51393,0.07857,0.07113,0.02487,2.45046,3.22438,2.93935,0.00104501,0.00104501,0.00104501
14,704.662,2.45854,3.17657,2.76264,0.7098,0.14587,0.10905,0.0346,2.39554,3.22042,2.90747,0.00103951,0.00103951,0.00103951
15,754.26,2.4216,3.16953,2.77833,0.33867,0.14674,0.11117,0.03751,2.35834,3.09294,2.96142,0.00103401,0.00103401,0.00103401
16,805.272,2.36564,3.18254,2.71157,0.3691,0.15062,0.12563,0.04081,2.35305,3.26372,2.84772,0.00102851,0.00102851,0.00102851
17,856.297,2.34732,3.14433,2.70042,0.61868,0.17665,0.13403,0.04912,2.31846,2.92447,2.84305,0.00102301,0.00102301,0.00102301
18,907.165,2.36305,3.05793,2.68339,0.73963,0.10498,0.11066,0.03238,2.43351,3.12214,2.85024,0.00101751,0.00101751,0.00101751
19,956.962,2.31466,2.99207,2.62816,0.33551,0.2048,0.16772,0.05579,2.25288,2.82521,2.77397,0.00101201,0.00101201,0.00101201
20,1008.55,2.29441,2.99434,2.61272,0.35116,0.21411,0.12461,0.038,2.34813,3.02286,2.78235,0.00100651,0.00100651,0.00100651
21,1057.7,2.27294,2.95484,2.60674,0.71611,0.12387,0.13063,0.04734,2.1869,2.91281,2.72838,0.00100101,0.00100101,0.00100101
22,1107.3,2.25967,2.95666,2.59298,0.32785,0.16566,0.14466,0.05041,2.2003,2.91355,2.70089,0.000995512,0.000995512,0.000995512
23,1156.45,2.26795,2.89196,2.59921,0.35982,0.1449,0.14082,0.04737,2.24346,2.85691,2.80818,0.000990012,0.000990012,0.000990012
24,1205.7,2.22999,2.89783,2.58553,0.5432,0.2515,0.16474,0.0563,2.24828,2.94682,2.78468,0.000984513,0.000984513,0.000984513
25,1256.98,2.19124,2.82477,2.53519,0.46986,0.18927,0.16796,0.05582,2.21058,2.75083,2.7682,0.000979013,0.000979013,0.000979013
26,1306.35,2.20043,2.82416,2.5211,0.22164,0.22401,0.20134,0.07365,2.17339,2.71228,2.71451,0.000973514,0.000973514,0.000973514
27,1357.88,2.20883,2.79898,2.54389,0.44824,0.20374,0.2246,0.0779,2.1992,2.64296,2.74771,0.000968014,0.000968014,0.000968014
28,1407.67,2.19017,2.76902,2.51583,0.58192,0.20692,0.15467,0.0506,2.18632,2.75193,2.70352,0.000962515,0.000962515,0.000962515
29,1456.54,2.17356,2.80426,2.50574,0.31978,0.16296,0.1505,0.05277,2.19692,2.78366,2.76601,0.000957015,0.000957015,0.000957015
30,1506.17,2.15914,2.7259,2.49566,0.16433,0.19351,0.13256,0.04778,2.27195,2.93506,2.75957,0.000951516,0.000951516,0.000951516
31,1555.37,2.1459,2.74553,2.46864,0.42838,0.20528,0.23077,0.08708,2.05858,2.4629,2.60944,0.000946016,0.000946016,0.000946016
32,1607.22,2.11562,2.72159,2.46282,0.45232,0.22833,0.2364,0.08499,2.09901,2.57281,2.59769,0.000940517,0.000940517,0.000940517
33,1656.82,2.12548,2.70721,2.46711,0.17597,0.2706,0.18159,0.05971,2.15006,2.60584,2.66246,0.000935018,0.000935018,0.000935018
34,1705.76,2.10192,2.64178,2.42707,0.414,0.28828,0.26849,0.09735,2.0705,2.42198,2.59875,0.000929518,0.000929518,0.000929518
35,1757.71,2.10908,2.62473,2.44574,0.18315,0.19142,0.21547,0.08379,2.08415,2.62354,2.65139,0.000924019,0.000924019,0.000924019
36,1806.71,2.10734,2.65874,2.45482,0.50357,0.21969,0.23161,0.08873,2.08808,2.50345,2.60573,0.000918519,0.000918519,0.000918519
37,1855.97,2.08038,2.58311,2.40711,0.14648,0.27633,0.20945,0.07156,2.095,2.54868,2.6573,0.00091302,0.00091302,0.00091302
38,1905.9,2.07893,2.64484,2.42483,0.58403,0.27275,0.23292,0.0849,2.10173,2.71703,2.67819,0.00090752,0.00090752,0.00090752
39,1955.06,2.0768,2.60199,2.40055,0.3071,0.27721,0.25699,0.0947,2.13747,2.44678,2.67406,0.000902021,0.000902021,0.000902021
40,2005.12,2.06082,2.54484,2.40217,0.46612,0.26411,0.27852,0.09873,2.05247,2.35922,2.6126,0.000896521,0.000896521,0.000896521
41,2056.32,2.06434,2.52158,2.37576,0.35217,0.38246,0.24627,0.09748,2.10051,2.65025,2.66886,0.000891022,0.000891022,0.000891022
42,2106.25,2.06695,2.5292,2.38535,0.28724,0.3634,0.26849,0.10646,2.03944,2.36137,2.60983,0.000885523,0.000885523,0.000885523
43,2157.17,2.03566,2.51624,2.37507,0.32995,0.29737,0.26353,0.10533,1.99176,2.45537,2.59509,0.000880023,0.000880023,0.000880023
44,2206.44,2.03482,2.55314,2.36401,0.28721,0.36641,0.26004,0.10907,2.02734,2.41223,2.56002,0.000874524,0.000874524,0.000874524
45,2257.72,2.02312,2.47284,2.35855,0.29735,0.31059,0.27199,0.11039,1.9995,2.39854,2.60812,0.000869024,0.000869024,0.000869024
46,2309.39,2.01132,2.48447,2.35055,0.20915,0.31651,0.24804,0.09924,1.94823,2.53537,2.52635,0.000863525,0.000863525,0.000863525
47,2358.79,2.0119,2.47806,2.34562,0.35279,0.36255,0.29902,0.12416,1.9927,2.41309,2.58236,0.000858025,0.000858025,0.000858025
48,2409.27,2.00749,2.47148,2.35248,0.38444,0.28176,0.27528,0.10002,2.06915,2.31506,2.6398,0.000852526,0.000852526,0.000852526
49,2459.51,1.99273,2.4331,2.32111,0.3864,0.3144,0.32543,0.13147,2.01836,2.27324,2.58662,0.000847026,0.000847026,0.000847026
50,2511.81,1.96812,2.40662,2.31288,0.29019,0.33007,0.34033,0.13375,2.03536,2.24734,2.59238,0.000841527,0.000841527,0.000841527
51,2561.69,1.98457,2.42388,2.32069,0.38312,0.42868,0.33306,0.14559,1.98783,2.27838,2.56875,0.000836027,0.000836027,0.000836027
52,2614.13,1.98737,2.39032,2.31361,0.35117,0.33036,0.32249,0.13978,1.96015,2.20694,2.53287,0.000830528,0.000830528,0.000830528
53,2663.64,1.95339,2.39536,2.30986,0.38109,0.36213,0.29698,0.11173,2.03835,2.32703,2.64347,0.000825029,0.000825029,0.000825029
54,2712.88,1.95103,2.39438,2.28747,0.42463,0.27152,0.3405,0.13097,1.97116,2.14907,2.5084,0.000819529,0.000819529,0.000819529
55,2763.18,1.95116,2.40485,2.30494,0.30211,0.43793,0.3172,0.12637,1.9545,2.19896,2.53534,0.00081403,0.00081403,0.00081403
56,2812.84,1.94195,2.40175,2.28354,0.26904,0.43333,0.30285,0.127,1.97971,2.28915,2.59567,0.00080853,0.00080853,0.00080853
57,2862.85,1.94426,2.37151,2.3075,0.38936,0.32579,0.33106,0.13989,1.94233,2.19302,2.51856,0.000803031,0.000803031,0.000803031
58,2912.49,1.94141,2.34546,2.28409,0.39311,0.30182,0.32388,0.14064,2.02614,2.29168,2.61567,0.000797531,0.000797531,0.000797531
59,2961.56,1.94404,2.35978,2.28453,0.43264,0.33272,0.30958,0.12087,2.04108,2.30641,2.62723,0.000792032,0.000792032,0.000792032
60,3011.04,1.91764,2.3448,2.27568,0.34814,0.29977,0.31651,0.12591,1.95839,2.20002,2.5521,0.000786532,0.000786532,0.000786532
61,3060.32,1.90776,2.34019,2.26037,0.39754,0.43526,0.34483,0.14063,1.9628,2.23683,2.56065,0.000781033,0.000781033,0.000781033
62,3109.88,1.92318,2.30487,2.25577,0.37209,0.33506,0.37098,0.14783,1.91636,2.08762,2.50962,0.000775534,0.000775534,0.000775534
63,3161.05,1.88951,2.27512,2.22861,0.48688,0.36794,0.37254,0.15058,1.92853,2.17555,2.50986,0.000770034,0.000770034,0.000770034
64,3211.84,1.8867,2.28403,2.24431,0.45332,0.3758,0.36986,0.16615,1.95323,2.14645,2.52705,0.000764535,0.000764535,0.000764535
65,3263.05,1.88914,2.31206,2.23847,0.42042,0.39035,0.37816,0.15412,1.90081,2.10226,2.4864,0.000759035,0.000759035,0.000759035
